subjectid,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20
ULS1fTmQ,0.048243409,0.087244099,0.136998693,0.189807131,0.247799486,0.295876256,0.329237743,0.299706265,0.304368991,0.207639365,0.240141128,0.125163143,0.087011377,0.068992871,0.055569851,0.011049836,0.080042708,0.044451763,0.061557893,0.075985907
UWhrbKTC,0.078236489,0.120058349,0.159606892,0.119312322,0.062390293,0.068992871,0.094558583,0.09531018,0.074107972,0.108213585,0.121360857,0,0.068992871,0.405465108,1.386294361,0.693147181,0.405465108,NaN,NaN,Inf
UZ9Vsj7D,0.044653286,0.084568131,0.134099198,0.180488376,0.253602759,0.246545167,0.265281136,0.430311107,0.169500868,0.0588405,0.048452383,0.073025135,0.054067221,0.042559614,0.048790164,0.108213585,0.068992871,0.064538521,0.060624622,0.117783036
UpNWCJ9a,0.058534339,0.106531223,0.145881288,0.17765021,0.155845883,0.139262067,0.098117856,0.09531018,0.098734841,0.074901308,0.114410351,0.10697212,0.149531734,0.125163143,0.108213585,0.16034265,0.122602322,0.162518929,0.15415068,0.310154928
VEBURFuk,0.05554181,0.099446405,0.159054574,0.220824262,0.280809193,0.355725126,0.381934611,0.388223302,0.460215623,0.537142932,0.278020162,0.26510775,0.256719847,0.256719847,0.331357136,0.200670695,0.16507975,0.374693449,0.342944751,0.300104592
VKW2KzGC,0.058497093,0.111915579,0.150591515,0.188086407,0.209044627,0.169463402,0.097543154,0.103435587,0.100083459,0.099090903,0.110541874,0.116072171,0.088553397,0.130053128,0.169899037,0.023530497,0.15415068,0.051293294,0.194156014,0.405465108
VN1pIYPc,0.064956367,0.107578132,0.153198752,0.172635495,0.156160731,0.129677823,0.110348057,0.126040721,0.060624622,0.147635999,0.15415068,0.087011377,0.191055237,0.223143551,0.068992871,0.84729786,0.693147181,0.287682072,0.287682072,NaN
VPAqPZQI,0.051660522,0.097031465,0.155690691,0.210748205,0.310154928,0.31621838,0.285417066,0.32322701,0.269476108,0.204794413,0.15415068,0.054808236,0.053345981,0.026668247,0.063513406,0.032789823,0.081345639,0.039220713,0.088553397,0.045462374
VPQJGG4D,0.054835484,0.092543562,0.142963306,0.180284708,0.207764859,0.25489225,0.260834822,0.197464537,0.175564774,0.150572858,0.092781733,0.041385216,0.122102697,0.089612159,0.034486176,0.062520357,0.125163143,0.102654154,0.09531018,0.029852963
W0BHMtXT,0.064875405,0.104279524,0.15191242,0.207812241,0.252967321,0.230986729,0.167054085,0.101782694,0.133531393,0.073331273,0.080042708,0.055059777,0.103540679,0.043485112,0.126751706,0.09763847,0,0.100083459,0.071458964,0.15415068
WRgBWkBO,0.067022801,0.13576242,0.222361996,0.330241687,0.37176519,0.372888938,0.310938935,0.195060583,0.189242,0.200670695,0.223143551,0.14518201,0.187211542,0.15415068,0.15415068,0.216223108,0.174353387,0.302280872,0.194156014,0.194156014
